,Unnamed: 0,original_image,cropped_img_name,taxonomy_cat,color_tonks,color_prob,pattern_tonks,pattern_prob
1932,1932,Summer_Outfits_Tumblr_flatlays_00000439.jpg,Summer_Outfits_Tumblr_flatlays_00000439_3.jpg,shoes,purple,0.999800384,striped,0.7102553844
1933,1933,Summer_Outfits_Tumblr_flatlays_00000442.jpg,Summer_Outfits_Tumblr_flatlays_00000442_0.jpg,shoes,purple,1,paisley,0.8485253453
1934,1934,Summer_Outfits_Tumblr_flatlays_00000442.jpg,Summer_Outfits_Tumblr_flatlays_00000442_1.jpg,shoes,purple,0.9999997616,solid,0.5866088271
1935,1935,Summer_Outfits_Tumblr_flatlays_00000444.jpg,Summer_Outfits_Tumblr_flatlays_00000444_1.jpg,shoes,black,0.9983350635,striped,0.9773383141
1936,1936,Summer_Outfits_Tumblr_flatlays_00000444.jpg,Summer_Outfits_Tumblr_flatlays_00000444_2.jpg,shoes,black,0.8259869814,floral,0.5421577096
1937,1937,Summer_Outfits_Tumblr_flatlays_00000460.jpg,Summer_Outfits_Tumblr_flatlays_00000460_1.jpg,shoes,grey,0.9999991655,melange,0.938605547
1938,1938,Summer_Outfits_Tumblr_flatlays_00000460.jpg,Summer_Outfits_Tumblr_flatlays_00000460_3.jpg,shoes,grey,0.999994874,camo,0.6552560925
1939,1939,Summer_Outfits_Tumblr_flatlays_00000462.jpg,Summer_Outfits_Tumblr_flatlays_00000462_0.jpg,shoes,white,0.9999998808,striped,0.9991931319
1940,1940,Summer_Outfits_Tumblr_flatlays_00000462.jpg,Summer_Outfits_Tumblr_flatlays_00000462_1.jpg,shoes,white,0.999999404,striped,0.9863137007
1941,1941,Summer_Outfits_Tumblr_flatlays_00000467.jpg,Summer_Outfits_Tumblr_flatlays_00000467_0.jpg,shoes,black,0.9999998808,solid,0.4807901978
1942,1942,Summer_Outfits_Tumblr_flatlays_00000467.jpg,Summer_Outfits_Tumblr_flatlays_00000467_1.jpg,shoes,black,0.9999980927,solid,0.828058064
1943,1943,Summer_Outfits_Tumblr_flatlays_00000478.jpg,Summer_Outfits_Tumblr_flatlays_00000478_0.jpg,shoes,brown,0.9999758005,solid,0.9299924374
1944,1944,Summer_Outfits_Tumblr_flatlays_00000478.jpg,Summer_Outfits_Tumblr_flatlays_00000478_2.jpg,shoes,brown,0.9999996424,solid,0.9871608019
1945,1945,Summer_Outfits_Tumblr_flatlays_00000479.jpg,Summer_Outfits_Tumblr_flatlays_00000479_0.jpg,shoes,brown,0.8506609797,striped,0.6612938046
1946,1946,Summer_Outfits_Tumblr_flatlays_00000479.jpg,Summer_Outfits_Tumblr_flatlays_00000479_1.jpg,shoes,orange,0.5793532729,striped,0.9823315144
1947,1947,Summer_Outfits_Tumblr_flatlays_00000485.jpg,Summer_Outfits_Tumblr_flatlays_00000485_1.jpg,shoes,black,0.9996598959,melange,0.9997976422
1948,1948,Summer_Outfits_Tumblr_flatlays_00000485.jpg,Summer_Outfits_Tumblr_flatlays_00000485_2.jpg,shoes,black,1,dotted,0.6805924773
1949,1949,Summer_Outfits_Tumblr_flatlays_00000491.jpg,Summer_Outfits_Tumblr_flatlays_00000491_0.jpg,shoes,green,0.9999998808,striped,0.7360610366
